Tick: 0 | WRITE to 0x91 with value 0x7
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 0 | Checking Chan: 0 | Port 91h: 0x87
Tick: 0 | Checking Chan: 1 | Port 91h: 0x87
Tick: 0 | Checking Chan: 2 | Port 91h: 0x87
Tick: 0 | Checking Chan: 3 | Port 91h: 0x87
Tick: 1 | Checking Chan: 0 | Port 91h: 0x87
Tick: 1 | Chan: 0 | Instrument change from 80 to 83 | WaveID: WAVE_CUSTOM_0b0c0e0d0d0e0c0b030302020101010100000000000000000101010102020303
Tick: 1 | Checking Chan: 1 | Port 91h: 0x87
Tick: 1 | Chan: 1 | Instrument change from 80 to 83 | WaveID: WAVE_CUSTOM_0f0f0f0f0f0f0f0f000000000000000000000000000000000000000000000000
Tick: 1 | Checking Chan: 2 | Port 91h: 0x87
Tick: 1 | Checking Chan: 3 | Port 91h: 0x87
Tick: 12 | Checking Chan: 0 | Port 91h: 0x87
Tick: 12 | Checking Chan: 1 | Port 91h: 0x87
Tick: 12 | Checking Chan: 2 | Port 91h: 0x87
Tick: 12 | Checking Chan: 3 | Port 91h: 0x87
Tick: 12 | Checking Chan: 0 | Port 91h: 0x87
Tick: 12 | Checking Chan: 1 | Port 91h: 0x87
Tick: 12 | Checking Chan: 2 | Port 91h: 0x87
Tick: 12 | Checking Chan: 3 | Port 91h: 0x87
Tick: 13 | Checking Chan: 0 | Port 91h: 0x87
Tick: 13 | Checking Chan: 1 | Port 91h: 0x87
Tick: 13 | Checking Chan: 2 | Port 91h: 0x87
Tick: 13 | Checking Chan: 3 | Port 91h: 0x87
Tick: 13 | Checking Chan: 0 | Port 91h: 0x87
Tick: 13 | Checking Chan: 1 | Port 91h: 0x87
Tick: 13 | Checking Chan: 2 | Port 91h: 0x87
Tick: 13 | Checking Chan: 3 | Port 91h: 0x87
Tick: 13 | Checking Chan: 0 | Port 91h: 0x87
Tick: 13 | Checking Chan: 1 | Port 91h: 0x87
Tick: 13 | Checking Chan: 2 | Port 91h: 0x87
Tick: 13 | Checking Chan: 3 | Port 91h: 0x87
Tick: 25 | Checking Chan: 0 | Port 91h: 0x87
Tick: 25 | Checking Chan: 1 | Port 91h: 0x87
Tick: 25 | Checking Chan: 2 | Port 91h: 0x87
Tick: 25 | Checking Chan: 3 | Port 91h: 0x87
Tick: 25 | Checking Chan: 0 | Port 91h: 0x87
Tick: 25 | Checking Chan: 1 | Port 91h: 0x87
Tick: 25 | Checking Chan: 2 | Port 91h: 0x87
Tick: 25 | Checking Chan: 3 | Port 91h: 0x87
Tick: 25 | Checking Chan: 0 | Port 91h: 0x87
Tick: 25 | Checking Chan: 1 | Port 91h: 0x87
Tick: 25 | Checking Chan: 2 | Port 91h: 0x87
Tick: 25 | Checking Chan: 3 | Port 91h: 0x87
Tick: 25 | Checking Chan: 0 | Port 91h: 0x87
Tick: 25 | Checking Chan: 1 | Port 91h: 0x87
Tick: 25 | Checking Chan: 2 | Port 91h: 0x87
Tick: 25 | Checking Chan: 3 | Port 91h: 0x87
Tick: 25 | Checking Chan: 0 | Port 91h: 0x87
Tick: 25 | Checking Chan: 1 | Port 91h: 0x87
Tick: 25 | Checking Chan: 2 | Port 91h: 0x87
Tick: 25 | Checking Chan: 3 | Port 91h: 0x87
Tick: 38 | Checking Chan: 0 | Port 91h: 0x87
Tick: 38 | Checking Chan: 1 | Port 91h: 0x87
Tick: 38 | Checking Chan: 2 | Port 91h: 0x87
Tick: 38 | Checking Chan: 3 | Port 91h: 0x87
Tick: 38 | Checking Chan: 0 | Port 91h: 0x87
Tick: 38 | Checking Chan: 1 | Port 91h: 0x87
Tick: 38 | Checking Chan: 2 | Port 91h: 0x87
Tick: 38 | Checking Chan: 3 | Port 91h: 0x87
Tick: 38 | Checking Chan: 0 | Port 91h: 0x87
Tick: 38 | Checking Chan: 1 | Port 91h: 0x87
Tick: 38 | Checking Chan: 2 | Port 91h: 0x87
Tick: 38 | Checking Chan: 3 | Port 91h: 0x87
Tick: 38 | Checking Chan: 0 | Port 91h: 0x87
Tick: 38 | Checking Chan: 1 | Port 91h: 0x87
Tick: 38 | Checking Chan: 2 | Port 91h: 0x87
Tick: 38 | Checking Chan: 3 | Port 91h: 0x87
Tick: 38 | Checking Chan: 0 | Port 91h: 0x87
Tick: 38 | Checking Chan: 1 | Port 91h: 0x87
Tick: 38 | Checking Chan: 2 | Port 91h: 0x87
Tick: 38 | Checking Chan: 3 | Port 91h: 0x87
Tick: 50 | Checking Chan: 0 | Port 91h: 0x87
Tick: 50 | Checking Chan: 1 | Port 91h: 0x87
Tick: 50 | Checking Chan: 2 | Port 91h: 0x87
Tick: 50 | Checking Chan: 3 | Port 91h: 0x87
Tick: 51 | Checking Chan: 0 | Port 91h: 0x87
Tick: 51 | Checking Chan: 1 | Port 91h: 0x87
Tick: 51 | Checking Chan: 2 | Port 91h: 0x87
Tick: 51 | Checking Chan: 3 | Port 91h: 0x87
Tick: 51 | Checking Chan: 0 | Port 91h: 0x87
Tick: 51 | Checking Chan: 1 | Port 91h: 0x87
Tick: 51 | Checking Chan: 2 | Port 91h: 0x87
Tick: 51 | Checking Chan: 3 | Port 91h: 0x87
Tick: 51 | Checking Chan: 0 | Port 91h: 0x87
Tick: 51 | Checking Chan: 1 | Port 91h: 0x87
Tick: 51 | Checking Chan: 2 | Port 91h: 0x87
Tick: 51 | Checking Chan: 3 | Port 91h: 0x87
Tick: 51 | Checking Chan: 0 | Port 91h: 0x87
Tick: 51 | Checking Chan: 1 | Port 91h: 0x87
Tick: 51 | Checking Chan: 2 | Port 91h: 0x87
Tick: 51 | Checking Chan: 3 | Port 91h: 0x87
Tick: 63 | Checking Chan: 0 | Port 91h: 0x87
Tick: 63 | Checking Chan: 1 | Port 91h: 0x87
Tick: 63 | Checking Chan: 2 | Port 91h: 0x87
Tick: 63 | Checking Chan: 3 | Port 91h: 0x87
Tick: 63 | Checking Chan: 0 | Port 91h: 0x87
Tick: 63 | Checking Chan: 1 | Port 91h: 0x87
Tick: 63 | Checking Chan: 2 | Port 91h: 0x87
Tick: 63 | Checking Chan: 3 | Port 91h: 0x87
Tick: 63 | Checking Chan: 0 | Port 91h: 0x87
Tick: 63 | Checking Chan: 1 | Port 91h: 0x87
Tick: 63 | Checking Chan: 2 | Port 91h: 0x87
Tick: 63 | Checking Chan: 3 | Port 91h: 0x87
Tick: 63 | Checking Chan: 0 | Port 91h: 0x87
Tick: 63 | Checking Chan: 1 | Port 91h: 0x87
Tick: 63 | Checking Chan: 2 | Port 91h: 0x87
Tick: 63 | Checking Chan: 3 | Port 91h: 0x87
Tick: 64 | Checking Chan: 0 | Port 91h: 0x87
Tick: 64 | Checking Chan: 1 | Port 91h: 0x87
Tick: 64 | Checking Chan: 2 | Port 91h: 0x87
Tick: 64 | Checking Chan: 3 | Port 91h: 0x87
Tick: 76 | Checking Chan: 0 | Port 91h: 0x87
Tick: 76 | Checking Chan: 1 | Port 91h: 0x87
Tick: 76 | Checking Chan: 2 | Port 91h: 0x87
Tick: 76 | Checking Chan: 3 | Port 91h: 0x87
Tick: 76 | Checking Chan: 0 | Port 91h: 0x87
Tick: 76 | Checking Chan: 1 | Port 91h: 0x87
Tick: 76 | Checking Chan: 2 | Port 91h: 0x87
Tick: 76 | Checking Chan: 3 | Port 91h: 0x87
Tick: 76 | Checking Chan: 0 | Port 91h: 0x87
Tick: 76 | Checking Chan: 1 | Port 91h: 0x87
Tick: 76 | Checking Chan: 2 | Port 91h: 0x87
Tick: 76 | Checking Chan: 3 | Port 91h: 0x87
Tick: 76 | Checking Chan: 0 | Port 91h: 0x87
Tick: 76 | Checking Chan: 1 | Port 91h: 0x87
Tick: 76 | Checking Chan: 2 | Port 91h: 0x87
Tick: 76 | Checking Chan: 3 | Port 91h: 0x87
Tick: 76 | Checking Chan: 0 | Port 91h: 0x87
Tick: 76 | Checking Chan: 1 | Port 91h: 0x87
Tick: 76 | Checking Chan: 2 | Port 91h: 0x87
Tick: 76 | Checking Chan: 3 | Port 91h: 0x87
Tick: 89 | Checking Chan: 0 | Port 91h: 0x87
Tick: 89 | Checking Chan: 1 | Port 91h: 0x87
Tick: 89 | Checking Chan: 2 | Port 91h: 0x87
Tick: 89 | Checking Chan: 3 | Port 91h: 0x87
Tick: 89 | Checking Chan: 0 | Port 91h: 0x87
Tick: 89 | Checking Chan: 1 | Port 91h: 0x87
Tick: 89 | Checking Chan: 2 | Port 91h: 0x87
Tick: 89 | Checking Chan: 3 | Port 91h: 0x87
Tick: 89 | Checking Chan: 0 | Port 91h: 0x87
Tick: 89 | Checking Chan: 1 | Port 91h: 0x87
Tick: 89 | Checking Chan: 2 | Port 91h: 0x87
Tick: 89 | Checking Chan: 3 | Port 91h: 0x87
Tick: 89 | Checking Chan: 0 | Port 91h: 0x87
Tick: 89 | Checking Chan: 1 | Port 91h: 0x87
Tick: 89 | Checking Chan: 2 | Port 91h: 0x87
Tick: 89 | Checking Chan: 3 | Port 91h: 0x87
Tick: 89 | Checking Chan: 0 | Port 91h: 0x87
Tick: 89 | Checking Chan: 1 | Port 91h: 0x87
Tick: 89 | Checking Chan: 2 | Port 91h: 0x87
Tick: 89 | Checking Chan: 3 | Port 91h: 0x87
Tick: 101 | Checking Chan: 0 | Port 91h: 0x87
Tick: 101 | Checking Chan: 1 | Port 91h: 0x87
Tick: 101 | Checking Chan: 2 | Port 91h: 0x87
Tick: 101 | Checking Chan: 3 | Port 91h: 0x87
Tick: 101 | Checking Chan: 0 | Port 91h: 0x87
Tick: 101 | Checking Chan: 1 | Port 91h: 0x87
Tick: 101 | Checking Chan: 2 | Port 91h: 0x87
Tick: 101 | Checking Chan: 3 | Port 91h: 0x87
Tick: 102 | Checking Chan: 0 | Port 91h: 0x87
Tick: 102 | Checking Chan: 1 | Port 91h: 0x87
Tick: 102 | Checking Chan: 2 | Port 91h: 0x87
Tick: 102 | Checking Chan: 3 | Port 91h: 0x87
Tick: 102 | Checking Chan: 0 | Port 91h: 0x87
Tick: 102 | Checking Chan: 1 | Port 91h: 0x87
Tick: 102 | Checking Chan: 2 | Port 91h: 0x87
Tick: 102 | Checking Chan: 3 | Port 91h: 0x87
Tick: 102 | Checking Chan: 0 | Port 91h: 0x87
Tick: 102 | Checking Chan: 1 | Port 91h: 0x87
Tick: 102 | Checking Chan: 2 | Port 91h: 0x87
Tick: 102 | Checking Chan: 3 | Port 91h: 0x87
Tick: 114 | Checking Chan: 0 | Port 91h: 0x87
Tick: 114 | Checking Chan: 1 | Port 91h: 0x87
Tick: 114 | Checking Chan: 2 | Port 91h: 0x87
Tick: 114 | Checking Chan: 3 | Port 91h: 0x87
Tick: 114 | Checking Chan: 0 | Port 91h: 0x87
Tick: 114 | Checking Chan: 1 | Port 91h: 0x87
Tick: 114 | Checking Chan: 2 | Port 91h: 0x87
Tick: 114 | Checking Chan: 3 | Port 91h: 0x87
Tick: 114 | Checking Chan: 0 | Port 91h: 0x87
Tick: 114 | Checking Chan: 1 | Port 91h: 0x87
Tick: 114 | Checking Chan: 2 | Port 91h: 0x87
Tick: 114 | Checking Chan: 3 | Port 91h: 0x87
Tick: 114 | Checking Chan: 0 | Port 91h: 0x87
Tick: 114 | Checking Chan: 1 | Port 91h: 0x87
Tick: 114 | Checking Chan: 2 | Port 91h: 0x87
Tick: 114 | Checking Chan: 3 | Port 91h: 0x87
Tick: 114 | Checking Chan: 0 | Port 91h: 0x87
Tick: 114 | Checking Chan: 1 | Port 91h: 0x87
Tick: 114 | Checking Chan: 2 | Port 91h: 0x87
Tick: 114 | Checking Chan: 3 | Port 91h: 0x87
Tick: 127 | Checking Chan: 0 | Port 91h: 0x87
Tick: 127 | Checking Chan: 1 | Port 91h: 0x87
Tick: 127 | Checking Chan: 2 | Port 91h: 0x87
Tick: 127 | Checking Chan: 3 | Port 91h: 0x87
Tick: 127 | Checking Chan: 0 | Port 91h: 0x87
Tick: 127 | Checking Chan: 1 | Port 91h: 0x87
Tick: 127 | Checking Chan: 2 | Port 91h: 0x87
Tick: 127 | Checking Chan: 3 | Port 91h: 0x87
Tick: 127 | Checking Chan: 0 | Port 91h: 0x87
Tick: 127 | Checking Chan: 1 | Port 91h: 0x87
Tick: 127 | Checking Chan: 2 | Port 91h: 0x87
Tick: 127 | Checking Chan: 3 | Port 91h: 0x87
Tick: 127 | Checking Chan: 0 | Port 91h: 0x87
Tick: 127 | Checking Chan: 1 | Port 91h: 0x87
Tick: 127 | Checking Chan: 2 | Port 91h: 0x87
Tick: 127 | Checking Chan: 3 | Port 91h: 0x87
Tick: 127 | Checking Chan: 0 | Port 91h: 0x87
Tick: 127 | Checking Chan: 1 | Port 91h: 0x87
Tick: 127 | Checking Chan: 2 | Port 91h: 0x87
Tick: 127 | Checking Chan: 3 | Port 91h: 0x87
Tick: 139 | Checking Chan: 0 | Port 91h: 0x87
Tick: 139 | Checking Chan: 1 | Port 91h: 0x87
Tick: 139 | Checking Chan: 2 | Port 91h: 0x87
Tick: 139 | Checking Chan: 3 | Port 91h: 0x87
Tick: 140 | Checking Chan: 0 | Port 91h: 0x87
Tick: 140 | Checking Chan: 1 | Port 91h: 0x87
Tick: 140 | Checking Chan: 2 | Port 91h: 0x87
Tick: 140 | Checking Chan: 3 | Port 91h: 0x87
Tick: 140 | Checking Chan: 0 | Port 91h: 0x87
Tick: 140 | Checking Chan: 1 | Port 91h: 0x87
Tick: 140 | Checking Chan: 2 | Port 91h: 0x87
Tick: 140 | Checking Chan: 3 | Port 91h: 0x87
Tick: 140 | Checking Chan: 0 | Port 91h: 0x87
Tick: 140 | Checking Chan: 1 | Port 91h: 0x87
Tick: 140 | Checking Chan: 2 | Port 91h: 0x87
Tick: 140 | Checking Chan: 3 | Port 91h: 0x87
Tick: 140 | Checking Chan: 0 | Port 91h: 0x87
Tick: 140 | Checking Chan: 1 | Port 91h: 0x87
Tick: 140 | Checking Chan: 2 | Port 91h: 0x87
Tick: 140 | Checking Chan: 3 | Port 91h: 0x87
Tick: 152 | Checking Chan: 0 | Port 91h: 0x87
Tick: 152 | Checking Chan: 1 | Port 91h: 0x87
Tick: 152 | Checking Chan: 2 | Port 91h: 0x87
Tick: 152 | Checking Chan: 3 | Port 91h: 0x87
Tick: 152 | Checking Chan: 0 | Port 91h: 0x87
Tick: 152 | Checking Chan: 1 | Port 91h: 0x87
Tick: 152 | Checking Chan: 2 | Port 91h: 0x87
Tick: 152 | Checking Chan: 3 | Port 91h: 0x87
Tick: 152 | Checking Chan: 0 | Port 91h: 0x87
Tick: 152 | Checking Chan: 1 | Port 91h: 0x87
Tick: 152 | Checking Chan: 2 | Port 91h: 0x87
Tick: 152 | Checking Chan: 3 | Port 91h: 0x87
Tick: 152 | Checking Chan: 0 | Port 91h: 0x87
Tick: 152 | Checking Chan: 1 | Port 91h: 0x87
Tick: 152 | Checking Chan: 2 | Port 91h: 0x87
Tick: 152 | Checking Chan: 3 | Port 91h: 0x87
Tick: 153 | Checking Chan: 0 | Port 91h: 0x87
Tick: 153 | Checking Chan: 1 | Port 91h: 0x87
Tick: 153 | Checking Chan: 2 | Port 91h: 0x87
Tick: 153 | Checking Chan: 3 | Port 91h: 0x87
Tick: 165 | Checking Chan: 0 | Port 91h: 0x87
Tick: 165 | Checking Chan: 1 | Port 91h: 0x87
Tick: 165 | Checking Chan: 2 | Port 91h: 0x87
Tick: 165 | Checking Chan: 3 | Port 91h: 0x87
Tick: 165 | Checking Chan: 0 | Port 91h: 0x87
Tick: 165 | Checking Chan: 1 | Port 91h: 0x87
Tick: 165 | Checking Chan: 2 | Port 91h: 0x87
Tick: 165 | Checking Chan: 3 | Port 91h: 0x87
Tick: 165 | Checking Chan: 0 | Port 91h: 0x87
Tick: 165 | Checking Chan: 1 | Port 91h: 0x87
Tick: 165 | Checking Chan: 2 | Port 91h: 0x87
Tick: 165 | Checking Chan: 3 | Port 91h: 0x87
Tick: 165 | Checking Chan: 0 | Port 91h: 0x87
Tick: 165 | Checking Chan: 1 | Port 91h: 0x87
Tick: 165 | Checking Chan: 2 | Port 91h: 0x87
Tick: 165 | Checking Chan: 3 | Port 91h: 0x87
Tick: 165 | Checking Chan: 0 | Port 91h: 0x87
Tick: 165 | Checking Chan: 1 | Port 91h: 0x87
Tick: 165 | Checking Chan: 2 | Port 91h: 0x87
Tick: 165 | Checking Chan: 3 | Port 91h: 0x87
Tick: 178 | Checking Chan: 0 | Port 91h: 0x87
Tick: 178 | Checking Chan: 1 | Port 91h: 0x87
Tick: 178 | Checking Chan: 2 | Port 91h: 0x87
Tick: 178 | Checking Chan: 3 | Port 91h: 0x87
Tick: 178 | Checking Chan: 0 | Port 91h: 0x87
Tick: 178 | Checking Chan: 1 | Port 91h: 0x87
Tick: 178 | Checking Chan: 2 | Port 91h: 0x87
Tick: 178 | Checking Chan: 3 | Port 91h: 0x87
Tick: 178 | Checking Chan: 0 | Port 91h: 0x87
Tick: 178 | Checking Chan: 1 | Port 91h: 0x87
Tick: 178 | Checking Chan: 2 | Port 91h: 0x87
Tick: 178 | Checking Chan: 3 | Port 91h: 0x87
Tick: 178 | Checking Chan: 0 | Port 91h: 0x87
Tick: 178 | Checking Chan: 1 | Port 91h: 0x87
Tick: 178 | Checking Chan: 2 | Port 91h: 0x87
Tick: 178 | Checking Chan: 3 | Port 91h: 0x87
Tick: 178 | Checking Chan: 0 | Port 91h: 0x87
Tick: 178 | Checking Chan: 1 | Port 91h: 0x87
Tick: 178 | Checking Chan: 2 | Port 91h: 0x87
Tick: 178 | Checking Chan: 3 | Port 91h: 0x87
Tick: 190 | Checking Chan: 0 | Port 91h: 0x87
Tick: 190 | Checking Chan: 1 | Port 91h: 0x87
Tick: 190 | Checking Chan: 2 | Port 91h: 0x87
Tick: 190 | Checking Chan: 3 | Port 91h: 0x87
Tick: 190 | Checking Chan: 0 | Port 91h: 0x87
Tick: 190 | Checking Chan: 1 | Port 91h: 0x87
Tick: 190 | Checking Chan: 2 | Port 91h: 0x87
Tick: 190 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 191 | Checking Chan: 0 | Port 91h: 0x87
Tick: 191 | Checking Chan: 1 | Port 91h: 0x87
Tick: 191 | Checking Chan: 2 | Port 91h: 0x87
Tick: 191 | Checking Chan: 3 | Port 91h: 0x87
Tick: 203 | Checking Chan: 0 | Port 91h: 0x87
Tick: 203 | Checking Chan: 1 | Port 91h: 0x87
Tick: 203 | Checking Chan: 2 | Port 91h: 0x87
Tick: 203 | Checking Chan: 3 | Port 91h: 0x87
Tick: 203 | Checking Chan: 0 | Port 91h: 0x87
Tick: 203 | Checking Chan: 1 | Port 91h: 0x87
Tick: 203 | Checking Chan: 2 | Port 91h: 0x87
Tick: 203 | Checking Chan: 3 | Port 91h: 0x87
Tick: 203 | Checking Chan: 0 | Port 91h: 0x87
Tick: 203 | Checking Chan: 1 | Port 91h: 0x87
Tick: 203 | Checking Chan: 2 | Port 91h: 0x87
Tick: 203 | Checking Chan: 3 | Port 91h: 0x87
Tick: 203 | Checking Chan: 0 | Port 91h: 0x87
Tick: 203 | Checking Chan: 1 | Port 91h: 0x87
Tick: 203 | Checking Chan: 2 | Port 91h: 0x87
Tick: 203 | Checking Chan: 3 | Port 91h: 0x87
Tick: 203 | Checking Chan: 0 | Port 91h: 0x87
Tick: 203 | Checking Chan: 1 | Port 91h: 0x87
Tick: 203 | Checking Chan: 2 | Port 91h: 0x87
Tick: 203 | Checking Chan: 3 | Port 91h: 0x87
Tick: 216 | Checking Chan: 0 | Port 91h: 0x87
Tick: 216 | Checking Chan: 1 | Port 91h: 0x87
Tick: 216 | Checking Chan: 2 | Port 91h: 0x87
Tick: 216 | Checking Chan: 3 | Port 91h: 0x87
Tick: 216 | Checking Chan: 0 | Port 91h: 0x87
Tick: 216 | Checking Chan: 1 | Port 91h: 0x87
Tick: 216 | Checking Chan: 2 | Port 91h: 0x87
Tick: 216 | Checking Chan: 3 | Port 91h: 0x87
Tick: 216 | Checking Chan: 0 | Port 91h: 0x87
Tick: 216 | Checking Chan: 1 | Port 91h: 0x87
Tick: 216 | Checking Chan: 2 | Port 91h: 0x87
Tick: 216 | Checking Chan: 3 | Port 91h: 0x87
Tick: 216 | Checking Chan: 0 | Port 91h: 0x87
Tick: 216 | Checking Chan: 1 | Port 91h: 0x87
Tick: 216 | Checking Chan: 2 | Port 91h: 0x87
Tick: 216 | Checking Chan: 3 | Port 91h: 0x87
Tick: 216 | Checking Chan: 0 | Port 91h: 0x87
Tick: 216 | Checking Chan: 1 | Port 91h: 0x87
Tick: 216 | Checking Chan: 2 | Port 91h: 0x87
Tick: 216 | Checking Chan: 3 | Port 91h: 0x87
Tick: 229 | Checking Chan: 0 | Port 91h: 0x87
Tick: 229 | Checking Chan: 1 | Port 91h: 0x87
Tick: 229 | Checking Chan: 2 | Port 91h: 0x87
Tick: 229 | Checking Chan: 3 | Port 91h: 0x87
Tick: 229 | Checking Chan: 0 | Port 91h: 0x87
Tick: 229 | Checking Chan: 1 | Port 91h: 0x87
Tick: 229 | Checking Chan: 2 | Port 91h: 0x87
Tick: 229 | Checking Chan: 3 | Port 91h: 0x87
Tick: 229 | Checking Chan: 0 | Port 91h: 0x87
Tick: 229 | Checking Chan: 1 | Port 91h: 0x87
Tick: 229 | Checking Chan: 2 | Port 91h: 0x87
Tick: 229 | Checking Chan: 3 | Port 91h: 0x87
Tick: 229 | Checking Chan: 0 | Port 91h: 0x87
Tick: 229 | Checking Chan: 1 | Port 91h: 0x87
Tick: 229 | Checking Chan: 2 | Port 91h: 0x87
Tick: 229 | Checking Chan: 3 | Port 91h: 0x87
Tick: 229 | Checking Chan: 0 | Port 91h: 0x87
Tick: 229 | Checking Chan: 1 | Port 91h: 0x87
Tick: 229 | Checking Chan: 2 | Port 91h: 0x87
Tick: 229 | Checking Chan: 3 | Port 91h: 0x87
Tick: 241 | Checking Chan: 0 | Port 91h: 0x87
Tick: 241 | Checking Chan: 1 | Port 91h: 0x87
Tick: 241 | Checking Chan: 2 | Port 91h: 0x87
Tick: 241 | Checking Chan: 3 | Port 91h: 0x87
Tick: 241 | Checking Chan: 0 | Port 91h: 0x87
Tick: 241 | Checking Chan: 1 | Port 91h: 0x87
Tick: 241 | Checking Chan: 2 | Port 91h: 0x87
Tick: 241 | Checking Chan: 3 | Port 91h: 0x87
Tick: 241 | Checking Chan: 0 | Port 91h: 0x87
Tick: 241 | Checking Chan: 1 | Port 91h: 0x87
Tick: 241 | Checking Chan: 2 | Port 91h: 0x87
